Name,Position,Wins,Hybrid Rating
Gylfi Sigurdsson,Midfielder,114,1.3209510317309698
André Gomes,Midfielder,18,-0.12826850337047427
Jean-Philippe Gbamin,Midfielder,1,-0.21837740110825754
Tom Davies,Midfielder,46,0.018112497990080623
Beni Baningime,Midfielder,2,-0.21978317158228936
Allan,Midfielder,2,-0.21808993631530826
James Rodríguez,Midfielder,2,-0.21857209828583177
Abdoulaye Doucouré,Midfielder,40,0.2817959255437994
Muhamed Besic,Midfielder,14,-0.1361727570625139
Sandro Ramírez,Forward,2,-0.23134968040938775
Yannick Bolasie,Forward,38,0.09036349580292666
Richarlison,Forward,41,0.17373498892997324
Dominic Calvert-Lewin,Forward,43,0.1541964441306537
Theo Walcott,Forward,176,1.4224162328042105
Cenk Tosun,Forward,14,-0.10915356209114496
Alex Iwobi,Forward,59,0.26521416017570654
Bernard,Forward,23,-0.08842525043154764
Moise Kean,Forward,9,-0.16652083482975644
Anthony Gordon,Forward,3,-0.20494913613850346
Marek Rodák,Goalkeeper,0,-0.23970742021316885
Fabri,Goalkeeper,0,-0.2484712874781058
Alphonse Areola,Goalkeeper,0,-0.24853015834772427
Michael Hector,Defender,0,-0.24016818714636415
Denis Odoi,Defender,7,-0.21182404640845043
Tim Ream,Defender,9,-0.19355313502860524
Maxime Le Marchand,Defender,7,-0.19908251939339136
Joe Bryan,Defender,6,-0.20075907855955202
Antonee Robinson,Defender,0,-0.24067687324547546
Kenny Tete,Defender,0,-0.22082011337441818
Ola Aina,Defender,3,-0.2358180581677882
Jean Michael Seri,Midfielder,6,-0.15257412427112405
Kevin McDonald,Midfielder,3,-0.25018137998922424
Neeskens Kebano,Midfielder,0,-0.2493468824700732
Stefan Johansen,Midfielder,1,-0.2414658273881996
Tom Cairney,Midfielder,7,-0.12909795954274397
Josh Onomah,Midfielder,8,-0.18725616519514435
André-Frank Zambo Anguissa,Midfielder,4,-0.2298494300560008
Mario Lemina,Midfielder,8,-0.09525324368966193
Harrison Reed,Midfielder,9,-0.17273392836468288
Tyrese Francois,Midfielder,0,-0.2340219990128842
Aleksandar Mitrovic,Forward,17,-0.09453145796203467
Bobby De Cordova-Reid,Forward,7,-0.17536888395221972
Ivan Cavaleiro,Forward,10,-0.19618567517318117
Aboubakar Kamara,Forward,2,-0.2171004504047286
Kiko Casilla,Goalkeeper,0,-0.2628597873541129
Elia Caprile,Goalkeeper,0,-0.23180370760202038
Luke Ayling,Defender,1,-0.23659694738866946
Barry Douglas,Defender,0,-0.2584232045323854
Liam Cooper,Defender,1,-0.2288111442582114
Pascal Struijk,Defender,0,-0.2294411766003088
Leif Davis,Defender,0,-0.2340219990128842
Robin Koch,Defender,1,-0.22127353196707872
Oliver Casey,Defender,0,-0.23180370760202038
Charlie Cresswell,Defender,0,-0.2273671247802929
Robbie Gotts,Defender,0,-0.2340219990128842
Adam Forshaw,Midfielder,6,-0.13412211742144403
Ezgjan Alioski,Midfielder,1,-0.1480542582844577
Stuart Dallas,Midfielder,1,-0.22996551268135582
Pablo Hernández,Midfielder,15,0.049954784480573784
Kalvin Phillips,Midfielder,1,-0.21194506558837975
Mateusz Klich,Midfielder,1,-0.20445877132718338
Jamie Shackleton,Midfielder,0,-0.2088102985192644
Jack Harrison,Midfielder,1,-0.21109034524731232
Alfie McCalmont,Midfielder,0,-0.2340219990128842
Mateusz Bogusz,Midfielder,0,-0.23180370760202038
Ian Poveda-Ocampo,Forward,0,-0.2340219990128842
Patrick Bamford,Forward,4,-0.20652881622213143
Tyler Roberts,Forward,1,-0.22586868193145174
Joe Gelhardt,Forward,0,-0.22958541619115666
