Name,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist,rating21
Alisson,2970.0,111.0,32.0,82.0,2445.2,10.0,38.0,8.0,4.0,1.0,3.0,128.0,275.0,1638.6,964.0,159.0,752.3,996.5,173.0,1068.2,1184.2,218.0,22.0,316.8,44.0,572.1,90.0
Alphonse Areola,3240.0,156.0,48.0,114.0,2626.1,9.0,54.8,6.0,6.0,0.0,0.0,171.0,431.0,1492.2,752.0,158.0,1434.6,1249.7,249.0,1871.7,1409.0,325.0,32.0,357.0,20.0,486.3,82.0
Andrea Consigli,3330.0,180.0,56.0,127.0,2568.4,7.0,57.6,5.0,4.0,1.0,0.0,186.0,409.0,1757.1,1123.0,161.0,1094.5,1122.7,235.0,917.4,945.0,327.0,29.0,313.8,26.0,597.4,81.0
Andreas Luthe,2768.0,123.0,42.0,84.0,2028.3,5.0,41.1,5.0,4.0,1.0,0.0,211.0,510.0,1355.1,922.0,106.0,1289.9,1168.2,216.0,2024.9,1433.3,237.0,16.0,197.1,11.0,411.8,74.0
Andrés Fernández,1440.0,50.0,21.0,32.0,985.7,4.0,16.6,3.0,3.0,0.0,0.0,91.0,260.0,607.9,445.0,70.0,701.9,605.6999999999999,121.0,803.0,656.6,167.0,13.0,111.5,7.0,186.4,78.0
Angelo da Costa Júnior,540.0,26.0,9.0,17.0,343.1,1.0,9.3,1.0,1.0,0.0,0.0,35.0,70.0,278.8,245.0,23.0,158.4,186.9,42.0,142.2,151.5,48.0,0.0,0.0,7.0,108.5,72.0
Anthony Lopes,3420.0,130.0,43.0,94.0,2462.5,11.0,43.0,8.0,5.0,2.0,1.0,214.0,407.0,2128.2,926.0,181.0,1228.9,1259.7,250.0,1391.0,1327.8,308.0,16.0,209.6,39.0,629.3,83.0
Anthony Racioppi,1890.0,93.0,33.0,63.0,1326.7,3.0,35.0,4.0,3.0,1.0,0.0,113.0,324.0,739.2,478.0,99.0,912.0,786.9,178.0,1406.9,1032.2,199.0,13.0,143.5,10.0,304.9,64.0
Antonio Mirante,1153.0,54.0,19.0,36.0,827.4,5.0,15.8,3.0,2.0,1.0,0.0,70.0,149.0,623.8,346.0,69.0,445.0,428.6,90.0,423.6,402.8,112.0,2.0,21.6,15.0,208.4,78.0
Antonio Sivera,71.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,25.0,15.0,1.0,66.7,48.1,7.0,85.7,53.3,7.0,1.0,14.3,0.0,10.2,72.0
Bailey Peacock-Farrell,360.0,25.0,14.0,11.0,174.4,0.0,9.5,0.0,0.0,0.0,0.0,41.0,94.0,175.6,84.0,5.0,323.3,231.5,29.0,357.9,272.6,36.0,0.0,0.0,3.0,59.7,69.0
Baptiste Reynet,3420.0,192.0,71.0,125.0,2536.1,8.0,63.7,10.0,6.0,3.0,1.0,298.0,800.0,1510.8,1287.0,144.0,1831.1,1567.8,300.0,2472.8,1851.8,362.0,19.0,198.1,27.0,531.0,75.0
Bartłomiej Drągowski,3148.0,128.0,55.0,82.0,2062.3,8.0,53.5,10.0,8.0,2.0,0.0,229.0,566.0,1502.9,802.0,165.0,1817.2,1487.8,260.0,1972.6,1592.8,335.0,24.0,330.1,17.0,511.1,75.0
Benjamin Lecomte,2520.0,62.0,27.0,39.0,1696.6,13.0,19.3,3.0,3.0,0.0,0.0,170.0,400.0,1341.5,827.0,109.0,1099.2,1003.7,170.0,1051.8,1055.2,196.0,11.0,156.4,36.0,496.4,80.0
Benoît Costil,3420.0,148.0,57.0,98.0,2562.9,14.0,46.8,8.0,7.0,1.0,0.0,318.0,690.0,1830.1,1035.0,144.0,1771.4,1480.9,291.0,2509.1,1871.7,324.0,18.0,172.7,21.0,514.4,79.0
Bernd Leno,3131.0,117.0,37.0,84.0,2385.6,11.0,37.0,2.0,1.0,1.0,0.0,110.0,338.0,1404.7,930.0,166.0,770.1,1000.6,226.0,1896.5,1562.7,310.0,26.0,282.9,22.0,503.8,85.0
Bingourou Kamara,720.0,31.0,14.0,19.0,456.7,2.0,9.7,1.0,1.0,0.0,0.0,63.0,142.0,347.5,191.0,43.0,381.0,309.8,56.0,664.9,464.1,58.0,3.0,44.3,1.0,104.7,73.0
Caoimhín Kelleher,180.0,7.0,1.0,6.0,175.0,1.0,2.2,0.0,0.0,0.0,0.0,8.0,19.0,84.4,48.0,10.0,62.8,68.2,14.0,62.2,68.0,19.0,2.0,15.4,1.0,36.0,61.0
Carlo Pinsoglio,23.0,2.0,1.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,9.0,0.0,22.2,21.8,2.0,0.0,12.5,1.0,0.0,0.0,1.0,31.0,72.0
Ciprian Tătărușanu,90.0,6.0,3.0,4.0,66.7,0.0,2.9,1.0,1.0,0.0,0.0,2.0,5.0,40.0,23.0,7.0,13.0,21.8,4.0,50.0,30.8,3.0,1.0,33.3,0.0,8.1,78.0
Claudio Bravo,1800.0,69.0,25.0,48.0,1373.6,7.0,27.1,5.0,4.0,1.0,0.0,139.0,358.0,805.4,519.0,81.0,1055.5,864.5,130.0,1341.5,1028.6,186.0,10.0,129.0,8.0,258.0,77.0
Cárdenas,720.0,41.0,11.0,26.0,497.4,1.0,11.4,1.0,0.0,0.0,1.0,45.0,104.0,360.1,207.0,42.0,305.4,284.2,57.0,320.2,278.3,88.0,5.0,50.7,9.0,117.5,63.0
Daniele Padelli,45.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,100.0,9.0,1.0,11.1,19.7,4.0,25.0,32.5,4.0,0.0,0.0,1.0,26.0,73.0
Darren Randolph,270.0,9.0,3.0,6.0,208.3,1.0,3.6,0.0,0.0,0.0,0.0,13.0,43.0,94.3,44.0,5.0,200.0,142.7,22.0,178.5,133.4,32.0,0.0,0.0,1.0,34.8,75.0
David Button,90.0,7.0,2.0,5.0,71.4,0.0,1.7,0.0,0.0,0.0,0.0,8.0,29.0,27.6,25.0,2.0,68.0,49.2,12.0,100.0,67.0,10.0,1.0,10.0,0.0,10.0,68.0
David Gil,360.0,15.0,10.0,6.0,156.6,0.0,6.4,1.0,1.0,0.0,0.0,32.0,110.0,117.8,86.0,9.0,346.8,233.5,37.0,388.9,274.1,47.0,3.0,17.6,1.0,43.6,66.0
David Ospina,1440.0,39.0,12.0,30.0,1166.7,8.0,13.0,3.0,3.0,0.0,0.0,73.0,155.0,746.1,483.0,49.0,459.6,500.1,56.0,356.6,406.8,117.0,11.0,157.89999999999998,12.0,242.8,79.0
David Soria,2520.0,75.0,31.0,52.0,1724.2,10.0,29.6,7.0,6.0,1.0,0.0,299.0,749.0,1126.9,661.0,14.0,2481.7,1667.3,195.0,2373.5,1648.5,208.0,20.0,239.4,42.0,474.5,82.0
David de Gea,2295.0,85.0,32.0,58.0,1570.2,9.0,29.7,4.0,4.0,0.0,0.0,94.0,217.0,1231.4,422.0,80.0,894.4,866.9,172.0,998.6,899.2,195.0,9.0,96.7,9.0,383.6,66.0
Dean Henderson,1125.0,50.0,12.0,38.0,946.8,4.0,12.2,0.0,0.0,0.0,0.0,41.0,110.0,456.1,220.0,61.0,455.8,456.0,94.0,378.9,399.0,105.0,9.0,113.1,14.0,203.7,80.0
Dimitry Bertaud,745.0,40.0,11.0,29.0,580.0,3.0,11.9,1.0,1.0,0.0,0.0,110.0,198.0,490.8,231.0,44.0,523.6,393.5,82.0,727.1,515.5,97.0,13.0,97.2,2.0,114.5,65.0
Ederson,3240.0,84.0,28.0,63.0,2389.1,19.0,28.9,8.0,7.0,1.0,0.0,139.0,305.0,1736.2,932.0,148.0,829.8,1112.9,158.0,1298.5,1336.3,179.0,14.0,255.7,23.0,557.2,88.0
Edouard Mendy,2835.0,79.0,26.0,55.0,1895.5,16.0,24.5,3.0,2.0,1.0,0.0,133.0,277.0,1451.5,849.0,127.0,775.2,915.3,187.0,1042.6,1003.7,213.0,14.0,209.5,20.0,481.9,79.0
Eiji Kawashima,2160.0,91.0,31.0,62.0,1585.0,8.0,29.3,5.0,3.0,1.0,1.0,199.0,421.0,1181.7,522.0,79.0,1254.6,1002.2,193.0,1659.7,1292.7,204.0,12.0,156.0,5.0,279.2,68.0
Emil Audero,3330.0,165.0,54.0,117.0,2484.4,6.0,51.3,9.0,7.0,2.0,0.0,254.0,612.0,1538.2,995.0,175.0,1659.2,1430.2,261.0,2370.4,1750.8,381.0,30.0,331.2,15.0,461.8,77.0
Emiliano Martínez,3420.0,177.0,46.0,135.0,2689.7,15.0,52.5,6.0,5.0,1.0,0.0,289.0,728.0,1579.6,1041.0,162.0,1974.4,1601.7,254.0,2330.6,1816.7,393.0,33.0,299.3,21.0,516.4,78.0
Fabian Bredlow,90.0,9.0,1.0,8.0,88.9,0.0,2.4,0.0,0.0,0.0,0.0,2.0,11.0,18.2,27.0,5.0,37.0,33.1,9.0,11.1,27.6,17.0,1.0,5.9,0.0,10.3,69.0
Federico Marchetti,334.0,19.0,11.0,8.0,223.3,0.0,8.0,0.0,0.0,0.0,0.0,13.0,34.0,131.0,101.0,19.0,84.8,114.5,35.0,192.1,146.5,27.0,0.0,0.0,3.0,60.0,71.0
Federico Ravaglia,360.0,18.0,10.0,9.0,178.6,0.0,7.8,1.0,1.0,0.0,0.0,10.0,28.0,108.2,115.0,18.0,80.6,104.5,23.0,36.7,76.3,21.0,1.0,16.7,5.0,68.7,55.0
